資訊時間,成交時間,商品代號,ITEM,成交價,成交量,總量,買單量,賣單量
8451247,8451243,TXFE7,128,9901,10,2215,759,1069
8451259,8451247,TXFE7,128,9901,1,2216,760,1070
8451272,8451262,TXFE7,128,9901,1,2217,761,1071
8451284,8451278,TXFE7,128,9901,1,2218,762,1072
8451284,8451279,TXFE7,128,9901,4,2222,763,1073
8451297,8451292,TXFE7,128,9900,1,2223,764,1074
8451297,8451296,TXFE7,128,9901,1,2224,765,1075
8451309,8451297,TXFE7,128,9901,1,2225,766,1076
8451309,8451298,TXFE7,128,9900,1,2226,767,1077
8451322,8451310,TXFE7,128,9901,1,2227,768,1078
8451322,8451314,TXFE7,128,9901,1,2228,769,1079
8451322,8451316,TXFE7,128,9900,1,2229,770,1080
8451334,8451324,TXFE7,128,9901,5,2234,771,1084
8451334,8451328,TXFE7,128,9901,10,2244,772,1088
8451334,8451332,TXFE7,128,9901,1,2245,773,1089
8451359,8451359,TXFE7,129,9901,1,2247,774,1091
8451359,8451359,TXFE7,129,9902,1,2247,774,1091
8451397,8451388,TXFE7,128,9901,6,2253,776,1092
8451397,8451390,TXFE7,128,9902,10,2263,777,1099
8451409,8451397,TXFE7,128,9902,2,2265,778,1100
8451409,8451401,TXFE7,128,9902,2,2267,779,1101
8451447,8451440,TXFE7,128,9902,2,2269,780,1102
8451447,8451442,TXFE7,128,9902,3,2272,781,1103
8451459,8451458,TXFE7,128,9901,1,2273,782,1104
8451459,8451458,TXFE7,128,9902,1,2274,783,1105
8451472,8451461,TXFE7,128,9901,5,2279,785,1106
8451484,8451476,TXFE7,128,9902,4,2283,786,1108
8451484,8451484,TXFE7,128,9901,10,2293,790,1109
8451497,8451492,TXFE7,129,9901,3,2303,796,1110
8451497,8451492,TXFE7,129,9900,7,2303,796,1110
8451497,8451494,TXFE7,129,9901,1,2311,797,1112
8451497,8451494,TXFE7,129,9902,7,2311,797,1112
